# TARGET/POLICY rows sourced from strategy/strategic-plan.md must be kept in sync if that document's own figures are ever revised.
# REFERENCE rows are third-party vendor-published facts, not business decisions -- their linked pair is the dated snapshot named in their source field (e.g. reference/homeworks-pricing-2026-07-31.md), not a strategy document. Re-verify them per that source's *-UPDATE.md procedure, never by editing them to match a remembered figure.
assumption_id,category,label,value,unit,effective_date,end_date,trigger_condition,status,source
crew_canvassing_bonus_spring,labor_cost,"Crew per-spring-client-signed bonus -- general crew policy (same generalization as crew_canvassing_rate)",20.00,$/client,,2027-05-31,,CONTRACTED,strategy/strategic-plan.md Section 4
konji_winter_project_rate,labor_cost,Konji winter business-side project rate,25.00,$/hr,,2027-05-31,,CONTRACTED,strategy/strategic-plan.md Section 4
xavier_payout,capital_obligation,"Xavier payout -- KNOWN FLOOR ONLY, not a final total. Equity-buyout component: 45% of pre-truck-reimbursement cash across all 4 active Relay accounts on 2026-04-08 ($2,253.54, the balance immediately before the 2026-04-09 $2,200 truck/insurance-reimbursement debit in account 3549 -- excluded deliberately so the truck purchase doesn't deflate Xavier's equity base) -- this anchor is independent of the departure date itself, so it is UNAFFECTED by the departure-date correction below. Owner-confirmed departure date 2026-04-30 (corrected from an initial ~2026-04-28 recollection, per H-059; still owner-recollection, not independently verified). 45% x $2,253.54 = $1,014.09. This is the ONLY component this row's value includes; the revenue-share and Anacostia components below are BLOCKED and NOT summed in here yet -- adding them without real data would overstate confidence in an unknown number, per this repo's flag-gaps-rather-than-guess rule. Consumed directly by build_model.py's High-scenario trajectory (get_assumption 'xavier_payout') as the payout event amount -- NOT reference-only, unlike the rows below.",1014.09,$,,,cash_buffer_target reached (projected balance >= $6000),CONTRACTED,"HISTORY.md H-059 (owner-confirmed structure and departure date, 2026-07-11); direct reconstruction from reference/Relay 2026-04-01 #3549.csv, #8735.csv, #3550.csv, #8737.csv. Revenue-share/Anacostia components tracked in the xavier_revenue_share_*/xavier_anacostia_share rows below; supersedes the prior flat ~$1,800 TARGET estimate (CONTEXT.md Section 6 item D)."
xavier_revenue_share_pct,labor_cost,"Xavier revenue-share bonus rate -- flat-rate scenario. 10% of net (post-6%-surcharge-removed) revenue from WLF/Moore/Picarello, the three recurring accounts Xavier cultivated and kept running. Reference only -- not consumed by build_model.py; the resulting dollar amount is BLOCKED (see xavier_revenue_share_wmp_3mo_flat/6mo_flat below) until each window's real data exists.",10.00,%,,,,CONTRACTED,"HISTORY.md H-059, owner-confirmed 2026-07-11"
xavier_revenue_share_pct_tier1,labor_cost,"Xavier revenue-share bonus rate -- declining-schedule scenario, first period (month 1 of the 3mo scenario; months 1-2 of the 6mo scenario). Reference only, same treatment as xavier_revenue_share_pct.",15.00,%,,,,CONTRACTED,"HISTORY.md H-059, owner-confirmed 2026-07-11"
xavier_revenue_share_pct_tier2,labor_cost,"Xavier revenue-share bonus rate -- declining-schedule scenario, second period (month 2 of the 3mo scenario; months 3-4 of the 6mo scenario). Reference only, same treatment as xavier_revenue_share_pct.",10.00,%,,,,CONTRACTED,"HISTORY.md H-059, owner-confirmed 2026-07-11"
xavier_revenue_share_pct_tier3,labor_cost,"Xavier revenue-share bonus rate -- declining-schedule scenario, third period (month 3 of the 3mo scenario; months 5-6 of the 6mo scenario). Reference only, same treatment as xavier_revenue_share_pct.",5.00,%,,,,CONTRACTED,"HISTORY.md H-059, owner-confirmed 2026-07-11"
xavier_revenue_share_wmp_3mo_flat,labor_cost,"Xavier revenue-share bonus, WLF+Moore+Picarello, flat-10% scenario, calendar-month-aligned 3-month window: May-June-July 2026 (2026-05-01 to 2026-07-31) -- anchored to the first full calendar month after Xavier's corrected 2026-04-30 departure, a deliberate simplification for easier tracking (owner-requested, H-059), replacing the original day-exact 2026-04-28/04-30-to-07-28 anchor. BLOCKED: window has not closed and real net revenue for the full window does not exist yet (data layer currently ends 2026-06-29; actual-to-date partial figure, re-derived fresh from the 2026-05-01 anchor, is $4,689.08 net across 13 invoices -- identical to the prior 04-28-anchored figure, confirmed by direct re-query, not assumed, since no WLF/Moore/Picarello invoices fell in the 04-28-05-01 gap -- i.e. $468.91 at 10%, but owner explicitly declined to project the remainder -- see H-059). One of 4 mutually-exclusive WMP scenarios (this row, the 6mo-flat row, and the two declining-schedule rows below) -- owner picks one once computable, not additive. Reference only, not consumed by build_model.py.",0.00,$,2026-05-01,2026-07-31,3-month window (May-June-July 2026) closes 2026-07-31; requires real WLF/Moore/Picarello net revenue data through that date,BLOCKED,"HISTORY.md H-059, owner-confirmed 2026-07-11 (departure-date correction and calendar-month-window switch also H-059, 2026-07-11)"
xavier_revenue_share_wmp_6mo_flat,labor_cost,"Xavier revenue-share bonus, WLF+Moore+Picarello, flat-10% scenario, calendar-month-aligned 6-month window: May-October 2026 (2026-05-01 to 2026-10-31) -- same May 2026 anchor as xavier_revenue_share_wmp_3mo_flat. BLOCKED: window has not closed; only 2 of 6 months are covered by real data as of 2026-07-11. One of 4 mutually-exclusive WMP scenarios -- see xavier_revenue_share_wmp_3mo_flat. Reference only, not consumed by build_model.py.",0.00,$,2026-05-01,2026-10-31,6-month window (May-October 2026) closes 2026-10-31; requires real WLF/Moore/Picarello net revenue data through that date,BLOCKED,"HISTORY.md H-059, owner-confirmed 2026-07-11 (departure-date correction and calendar-month-window switch also H-059, 2026-07-11)"
xavier_revenue_share_wmp_3mo_declining,labor_cost,"Xavier revenue-share bonus, WLF+Moore+Picarello, declining-schedule scenario, one full calendar month per tier per xavier_revenue_share_pct_tier1/2/3: May 2026=15%, June 2026=10%, July 2026=5%. Same May-June-July 2026 (2026-05-01 to 2026-07-31) window as xavier_revenue_share_wmp_3mo_flat. BLOCKED, same reason as xavier_revenue_share_wmp_3mo_flat -- needs real month-by-month revenue, which is MORE data-hungry than the flat scenario (a window total isn't enough; each of the 3 months must be isolated). One of 4 mutually-exclusive WMP scenarios. Reference only, not consumed by build_model.py.",0.00,$,2026-05-01,2026-07-31,"3-month window (May-June-July 2026) closes 2026-07-31; requires real month-by-month WLF/Moore/Picarello net revenue for May 2026, June 2026, and July 2026 individually",BLOCKED,"HISTORY.md H-059, owner-confirmed 2026-07-11 (departure-date correction and calendar-month-window switch also H-059, 2026-07-11)"
xavier_revenue_share_wmp_6mo_declining,labor_cost,"Xavier revenue-share bonus, WLF+Moore+Picarello, declining-schedule scenario, two full calendar months per tier per xavier_revenue_share_pct_tier1/2/3: May-June 2026=15%, July-Aug 2026=10%, Sep-Oct 2026=5%. Same May-October 2026 (2026-05-01 to 2026-10-31) window as xavier_revenue_share_wmp_6mo_flat. BLOCKED, same reason as xavier_revenue_share_wmp_6mo_flat, plus needs real revenue isolated into 3 two-month periods. One of 4 mutually-exclusive WMP scenarios. Reference only, not consumed by build_model.py.",0.00,$,2026-05-01,2026-10-31,"6-month window (May-October 2026) closes 2026-10-31; requires real WLF/Moore/Picarello net revenue for May-June 2026, July-Aug 2026, and Sep-Oct 2026 individually",BLOCKED,"HISTORY.md H-059, owner-confirmed 2026-07-11 (departure-date correction and calendar-month-window switch also H-059, 2026-07-11)"
xavier_anacostia_share,labor_cost,"Xavier revenue-share bonus, Anacostia Community Boathouse Association, flat 10% of the first invoice's net (post-surcharge-removed) amount only -- one-time, not ongoing, unaffected by which WMP scenario above is chosen. First payment confirmed real ($2,332.00 received 2026-05-26 per reference/Relay 2026-05-01 #8735.csv, ref 'Invoice 48 - ACBA'), but the exact net_subtotal (excluding the 6% surcharge) cannot currently be isolated -- Anacostia is not yet in model/data/revenue-invoices.csv (built from an older invoice PDF that predates this account); only aggregated, dateless CRM exports exist in reference/. BLOCKED pending a real invoice-level data pull for this customer, following this repo's established new-data-source pattern. Reference only, not consumed by build_model.py.",0.00,$,,,Anacostia invoice-level data (Invoice #48 net_subtotal) pulled into the data layer,BLOCKED,"HISTORY.md H-059, owner-confirmed 2026-07-11; reference/Relay 2026-05-01 #8735.csv"
owner_truck_debt_repayment,capital_obligation,Owner truck-debt repayment,3800.00,$,,,xavier_payout completed,TARGET,CONTEXT.md Section 6 item D / strategy/strategic-plan.md Section 6 Phase 3
anais_hourly_rate_current,labor_cost,"Anais base hourly rate (current, confirmed real)",25.00,$/hr,,,,CONTRACTED,"HISTORY.md H-070 -- confirmed real per Gusto payroll export reference/tupelo-landscaping-llc-payroll-summary-2026-04-11-to-2026-07-09.csv, most recent captured pay period 2026-06-15 to 2026-06-28 (Regular Rate field = 25.00); cross-checked against model/data/ledger-labor.csv's matching rows, no divergence. Reference only, not consumed by the trajectory calc -- crew labor uses the ledger trend instead (Decision 3/H-049), same treatment as Konji's own current-rate row above."
anais_hourly_rate_pending,labor_cost,"Anais base hourly rate -- owner-stated reduction, NOT YET CONFIRMED against any payroll export",20.00,$/hr,2026-07-12,,"A Gusto payroll export covering a pay period ending on or after 2026-07-12 confirms Anais Beauvais's rate at 20.00/hr, per reference/PAYROLL-UPDATE.md's standing verification step",BLOCKED,"Owner-stated 2026-07-14 conversation: wage reduction from 25.00/hr to 20.00/hr, claimed effective for the pay period ending 2026-07-12. Verified against source data before recording, per this repo's verify-before-reasoning rule -- NOT confirmed: the most recent Gusto export (reference/tupelo-landscaping-llc-payroll-summary-2026-04-11-to-2026-07-09.csv) does not contain any pay period ending 2026-07-12 or later, and the most recent period it does contain (2026-06-15 to 2026-06-28) still shows 25.00/hr (see anais_hourly_rate_current above). effective_date is the owner's stated date, not guessed, but the rate itself is unverified -- this row is deliberately BLOCKED, not CONTRACTED/ACTUAL, until a real export confirms it (distinct from Konji's konji_hourly_rate 'negotiated' row above, which is an agreed-but-dormant future contract term with a scheduled date; this row instead asserts a change already in effect that current data does not yet support). HISTORY.md H-070. Reference only, not consumed by the trajectory calc. Promote to CONTRACTED/ACTUAL (merge into anais_hourly_rate_current, preserving 25.00/hr history as a dated note per the Konji D4 phase-switch pattern) and update strategy/strategic-plan.md Section 4's compensation table only once reference/PAYROLL-UPDATE.md's verification step confirms this rate for a real pay period."
anais_backup_lead_rate,labor_cost,"Anais backup crew-lead rate -- covers the (expected rare) jobs she leads when Konji cannot be present; no volume assumption exists to project against, so this is reference only, not consumed by the trajectory calc (same treatment as Konji's un-volumed canvassing bonuses)",25.00,$/hr,,,,CONTRACTED,"HISTORY.md H-057 (owner-confirmed 2026-07-10, resolving CONTEXT.md Follow-Up #11's backup-crew-lead portion). Anais's canvassing rate no longer has its own row: she is now covered by the general crew_canvassing_rate/crew_canvassing_bonus_fall/crew_canvassing_bonus_spring rows above (Konji's former rows, generalized) -- a standalone anais_canvassing_rate row was deliberately not created, per the same single-source-of-truth principle applied to revenue_growth_rate_assumption (Decision 11, H-053)."
crew_labor_model,labor_cost,"D2 planning model: 2-person 50/50 split (reference only, not used in the trajectory calc, see Decision 3)",22.50,$/hr blended,,,,TARGET,CONTEXT.md D2 (reframed H-049)
revenue_growth_rate_assumption,revenue_target,"Assumed YoY growth rate for seasonal-naive projection -- used for BOTH revenue and crew labor (Decision 11, owner-confirmed 2026-07-10: crew labor's own separately-observed growth rate, 92.8%, was considered and explicitly rejected in favor of pinning to revenue's rate; this is a single shared assumption row referenced by both calculations in build_model.py, not two rows kept manually in sync -- eliminates the drift risk of two independent rows holding the same number)",75.9,%,,,,DERIVED,"model/PROJECTION-PLAN.md Section 2.3 (observed collected-cash YoY growth, Apr-Jun 2025 vs Apr-Jun 2026); Decision 11 resolution owner-confirmed 2026-07-10"
homeworks_enterprise_monthly_price,saas_pricing,"Homeworks Enterprise plan list price -- monthly billing cadence. Consumed by model/homeworks_plan_analysis.py as the Enterprise side of the plan-cost delta (CONTEXT.md Follow-Up #30 trigger 1). NOTE: no corresponding Growth price row exists, deliberately -- the Growth side is derived at run time from the most recent Homeworks (CRM)/crm-subscription row in model/data/ledger-overhead.csv (the real contracted cost, currently 299.00/mo), so a negotiated or changed rate cannot silently diverge from a stored constant. This is the H-041 drift pattern being avoided, not an omission.",499.00,$/mo,2026-07-31,,,REFERENCE,"reference/homeworks-pricing-2026-07-31.md -- vendor-published list price, https://www.home.works/pricing, fetched 2026-07-31. LINKED PAIR with that snapshot: re-verify per reference/HOMEWORKS-PRICING-UPDATE.md. Live marketing page; changes without notice and fails silently."
homeworks_enterprise_annual_effective_price,saas_pricing,"Homeworks Enterprise plan list price -- annual billing cadence, effective monthly. Counterfactual only: this business is on monthly billing (13 ledger rows confirm), so this row supports the both-cadences comparison in CONTEXT.md Follow-Up #30, it does not describe current cost.",379.00,$/mo,2026-07-31,,,REFERENCE,"reference/homeworks-pricing-2026-07-31.md. Vendor states Save $1440 with annual plan; arithmetic self-check 499.00 - 379.00 = 120.00/mo x 12 = 1440.00, confirmed against the page."
homeworks_growth_annual_effective_price,saas_pricing,"Homeworks Growth plan list price -- annual billing cadence, effective monthly. Counterfactual: the business pays monthly. Already documented independently in reference/fixed-overhead.md as optional annual billing = 2628.00/yr, a future election when capital allows, not current -- these two are a LINKED PAIR and must not drift.",219.00,$/mo,2026-07-31,,,REFERENCE,"reference/homeworks-pricing-2026-07-31.md; cross-check reference/fixed-overhead.md Homeworks (CRM) row. Vendor states Save $960 with annual plan; arithmetic self-check 299.00 - 219.00 = 80.00/mo x 12 = 960.00, confirmed."
homeworks_additional_seat_price,saas_pricing,"Homeworks additional user seat, charged beyond a plan tier included-user count. Published in the shared feature-comparison table under Included users, i.e. applies on every tier, not one plan only.",15.00,$/user/mo,2026-07-31,,,REFERENCE,"reference/homeworks-pricing-2026-07-31.md -- verbatim: Add more seats for $15/month per user."
homeworks_growth_included_users,saas_pricing,Homeworks Growth plan included user seats,10,users,2026-07-31,,,REFERENCE,reference/homeworks-pricing-2026-07-31.md
homeworks_enterprise_included_users,saas_pricing,"Homeworks Enterprise plan included user seats. Arithmetic note driving CONTEXT.md Follow-Up #30 trigger 3: the 10-seat advantage over Growth is worth (20 - 10) x 15.00 = 150.00/mo, which is LESS than both the 200.00 monthly and 160.00 annual plan-price gaps -- so Enterprise never becomes cheaper on seats alone, at any seat count. Seats reduce the delta, they do not invert it.",20,users,2026-07-31,,,REFERENCE,reference/homeworks-pricing-2026-07-31.md
homeworks_growth_contact_limit,saas_pricing,"Homeworks Growth plan CRM contact cap. A hard cap, not a cost tradeoff -- at or near this figure an upgrade is forced regardless of any revenue or seat math (CONTEXT.md Follow-Up #30 trigger 2). What Homeworks actually does on reaching it (block / auto-upgrade / overage bill) is NOT published; see the snapshot Stated nowhere section.",1000,contacts,2026-07-31,,,REFERENCE,reference/homeworks-pricing-2026-07-31.md
homeworks_enterprise_contact_limit,saas_pricing,Homeworks Enterprise plan CRM contact cap,5000,contacts,2026-07-31,,,REFERENCE,reference/homeworks-pricing-2026-07-31.md
homeworks_growth_card_rate_pct,saas_pricing,"Homeworks Growth plan card-processing percentage rate. Independently corroborated by owner verification in HISTORY.md H-063 (2.9% true Stripe cost + 1% Homeworks platform markup = 3.9%), which predates and agrees with this vendor page.",3.90,%,2026-07-31,,,REFERENCE,"reference/homeworks-pricing-2026-07-31.md; corroborated independently by HISTORY.md H-063 and CONTEXT.md Follow-Up #17."
homeworks_enterprise_card_rate_pct,saas_pricing,"Homeworks Enterprise plan card-processing percentage rate. The 1.00 percentage-point gap versus Growth is the entire card-side saving from upgrading, and applies only to card-processed dollars -- ACH dollars carry no plan delta (see homeworks_ach_fee_cap).",2.90,%,2026-07-31,,,REFERENCE,reference/homeworks-pricing-2026-07-31.md
homeworks_card_fixed_fee,saas_pricing,"Homeworks per-charge fixed card fee. IDENTICAL on Growth and Enterprise, so it cancels entirely from the upgrade delta -- transaction COUNT is irrelevant to the plan decision, only card dollar VOLUME matters. Stored so the analysis can state that cancellation from data rather than assert it.",0.30,$/charge,2026-07-31,,,REFERENCE,reference/homeworks-pricing-2026-07-31.md
homeworks_sms_segment_rate,saas_pricing,"Homeworks outbound SMS rate per 160-character segment. Applies from segment 1 on Growth (no allowance). Incoming SMS is free on any plan and counts toward no allowance or billing (owner clarification) -- only OUTBOUND segments bill.",0.03,$/segment,2026-07-31,,,REFERENCE,reference/homeworks-pricing-2026-07-31.md
homeworks_enterprise_sms_included_segments,saas_pricing,"Homeworks Enterprise plan included outbound SMS segments per month. Worth at most 1000 x 0.03 = 30.00/mo, and only if real outbound volume exceeds this figure -- below it the allowance is worth exactly 0.00, since Growth would not have incurred the cost either. A ceiling, never a guaranteed saving.",1000,segments/mo,2026-07-31,,,REFERENCE,reference/homeworks-pricing-2026-07-31.md
homeworks_enterprise_sms_overage_rate,saas_pricing,"Homeworks Enterprise outbound SMS rate BEYOND the 1000 included segments. NOT PUBLISHED anywhere on the pricing page (actively searched 2026-07-31, absent). Plausibly 0.03 matching Growth, but explicitly not assumed. This matters more than it looks: if the Enterprise overage rate exceeds Growth 0.03 rate, SMS savings DECLINE as volume grows and can go negative, making Enterprise worse on the SMS line at high volume -- so the 30.00/mo ceiling is conditional on this rate, not unconditional. Modelled as BLOCKED, not guessed.",0.00,$/segment,,,Homeworks support or an actual Enterprise-tier invoice confirms the per-segment rate charged beyond the 1000-segment monthly allowance,BLOCKED,"reference/homeworks-pricing-2026-07-31.md Stated nowhere on this page, item 1. Prerequisite is an owner-side query to Homeworks; not derivable from any repo file."
homeworks_ach_fee_cap,saas_pricing,"ACH per-transaction fee cap. Stripe own published cap, passed through by Homeworks with NO markup (owner-confirmed) and published as IDENTICAL on Growth and Enterprise -- so ACH dollars generate ZERO Growth-to-Enterprise upgrade saving. The no-markup fact gives the mechanism rather than just the observation: an upgrade removes Homeworks 1% CARD markup, and there is no equivalent ACH markup for it to remove. Consequential for CONTEXT.md Follow-Up #30 trigger 1, since Follow-Up #32 is actively migrating commercial clients from card to portal ACH, shrinking the card-dollar base that is the only pool producing savings. Binds at $625.00 with homeworks_ach_rate_pct: 0.8% x 625.00 = 5.00.",5.00,$/transaction,2026-07-31,,,REFERENCE,"https://stripe.com/pricing (verified 2026-07-31, verbatim: 0.8% ACH Direct Debit $5.00 cap); independently corroborated by reference/homeworks-pricing-2026-07-31.md, verbatim: Reduce your costs with reduced ACH processing fees, capped at $5."
homeworks_ach_rate_pct,saas_pricing,"ACH Direct Debit percentage rate. NOT a Homeworks-specific figure -- this is Stripe's own published ACH Direct Debit price, and Homeworks passes it through with NO markup (owner-confirmed 2026-07-31). STRUCTURAL CONTRAST WITH CARD, do not reason about the two alike: for card payments Homeworks adds a 1% platform markup on top of Stripe raw 2.9% + $0.30 for any tier below Enterprise (independently verified, HISTORY.md H-063), producing the blended 3.90% this ledger uses. ACH carries no such markup on either tier. Both route through Stripe; Homeworks marks up one and not the other. Cap interaction: the flat $5.00 cap (homeworks_ach_fee_cap) binds at exactly $625.00, since 0.8% x 625.00 = 5.00 -- above that the effective rate falls continuously with transaction size (a $5,000 ACH payment costs 0.1%, not 0.8%), unlike card 2.9% + $0.30 which has no ceiling. Relevant because CONTEXT.md Follow-Up #32 migrates COMMERCIAL clients, i.e. the largest invoices, which are exactly the ones above the cap. Promoted from BLOCKED to REFERENCE 2026-07-31 (HISTORY.md H-079) on the strength of the Stripe source; previously carried as owner-stated-only. Still to confirm: that this account is actually charged the published list rate, once a real portal-ACH transaction exists.",0.80,%,2026-07-31,,,REFERENCE,"https://stripe.com/pricing -- Stripe own published pricing, verified directly 2026-07-31, verbatim: 0.8% ACH Direct Debit $5.00 cap. No-markup passthrough is owner-confirmed 2026-07-31, not vendor-published. Cap independently corroborated by reference/homeworks-pricing-2026-07-31.md. Live vendor page: re-verify per reference/HOMEWORKS-PRICING-UPDATE.md."
